Tell Me This Isn't Happening,57,439095026,Robynn Clairday,Education ,Scholastic,1999
Flood : Mississippi 1927,58,689821166,Kathleen Duey,Education ,Aladdin,1998
Wild Animus,59,971880107,Rich Shapero,Education ,Too Far,2004
Airframe,60,345402871,Michael Crichton,Education ,Ballantine Books,1997
Timeline,61,345417623,MICHAEL CRICHTON,Education ,Ballantine Books,2000
OUT OF THE SILENT PLANET,62,684823802,C.S. Lewis,Education ,Scribner,1996
Prague : A Novel,63,375759778,ARTHUR PHILLIPS,Education ,Random House Trade Paperbacks,2003
Chocolate Jesus,64,425163091,Stephan Jaramillo,Education ,Berkley Publishing Group,1998
Wie Barney es sieht.,65,3404921038,Mordecai Richler,Education ,LÃ?Â¼bbe,2002
Der Fluch der Kaiserin. Ein Richter- Di- Roman.,66,3442353866,Eleanor Cooney,Education ,Goldmann,2001
Sturmzeit. Roman.,67,3442410665,Charlotte Link,Education ,Goldmann,1991
Tage der Unschuld.,68,3442446937,Richard North Patterson,Education ,Goldmann,2000
Lying Awake,69,375406328,Mark Salzman,Education ,Alfred A. Knopf,2000
To Kill a Mockingbird,70,446310786,Harper Lee,Education ,Little Brown &amp; Company,1988
Seabiscuit: An American Legend,71,449005615,LAURA HILLENBRAND,Education ,Ballantine Books,2002
Pigs in Heaven,72,60168013,Barbara Kingsolver,Education ,Harpercollins,1993
Miss Zukas and the Raven's Dance,73,038078243X,Jo Dereske,Education ,Avon,1996
Pride and Prejudice,74,055321215X,Jane Austen,Education ,Bantam,1983
The Therapeutic Touch: How to Use Your Hands to Help or to Heal,75,067176537X,Dolores Krieger,Education ,Fireside,1979
Downtown,76,61099686,Anne Rivers Siddons,Education ,HarperTorch,1995
Icebound,77,553582909,Dean R. Koontz,Education ,Bantam Books,2000
I'll Be Seeing You,78,671888587,Mary Higgins Clark,Education ,Pocket,1994
From the Corner of His Eye,79,553582747,Dean Koontz,Education ,Bantam Books,2001
Isle of Dogs,80,425182908,Patricia Cornwell,Education ,Berkley Publishing Group,2002
Purity in Death,81,042518630X,J.D. Robb,Education ,Berkley Publishing Group,2002
This Year It Will Be Different: And Other Stories,82,440223571,Maeve Binchy,Education ,Dell,1997
Proxies,83,812523873,Laura J. Mixon,Education ,Tor Books,1999
Left Behind: A Novel of the Earth's Last Days (Left Behind #1),84,842342702,Tim Lahaye,Education ,Tyndale House Publishers,2000
The Street Lawyer,85,440225701,JOHN GRISHAM,Education ,Dell,1999
"Love, Medicine and Miracles",86,60914068,M.D. Bernie S. Siegel,Education ,HarperCollins Publishers,1988
All the King's Men,87,156047624,Robert Penn Warren,Education ,Harvest Books,1982
Pacific Northwest,88,245542957,Hans Johannes Hoefer,Education ,Chambers Harrap Publishers Ltd,1985
A Soldier of the Great War,89,380715899,Mark Helprin,Education ,Avon Books,1992
Getting Well Again,90,553280333,O. Carol Simonton Md,Education ,Bantam,1992
Northwest Wines and Wineries,91,961769947,Chuck Hill,Education ,Speed Graphics,1993
An Atmosphere of Eternity: Stories of India,92,964778319,David Iglehart,Education ,Sunflower Press,2002
LONESOME DOVE,93,671623249,Larry McMurtry,Education ,Pocket,1986
Shabanu: Daughter of the Wind (Border Trilogy),94,679810307,SUZANNE FISHER STAPLES,Education ,Laurel Leaf,1991
Haveli (Laurel Leaf Books),95,679865691,SUZANNE FISHER STAPLES,Education ,Laurel Leaf,1995
Lieux dits,96,2070423204,Michel Tournier,Education ,Gallimard,2002
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,97,345260317,Carl Sagan,Education ,Ballantine Books,1978
The yawning heights,98,394743741,Aleksandr Zinoviev,Education ,Random House,1980
Breathing Lessons,99,042511774X,Anne Tyler,Education ,Berkley Publishing Group,1994
The Joy Luck Club,100,804106304,Amy Tan,Education ,Prentice Hall (K-12),1994
Heart of Darkness (Wordsworth Collection),101,1853262404,Joseph Conrad,Education ,NTC/Contemporary Publishing Company,1998
The Angel Is Near,102,312970242,Deepak Chopra,Education ,St. Martin's Press,2000
Tess of the D'Urbervilles (Wordsworth Classics),103,1853260053,Thomas Hardy,Education ,NTC/Contemporary Publishing Company,1997
The Adventures of Drew and Ellie: The Magical Dress,104,1414035004,Charles Noland,Education ,1stBooks Library,2003
The Accidental Virgin,105,60938412,Valerie Frankel,Education ,Avon Trade,2003
The Tao of Pooh,106,140067477,Benjamin Hoff,Education ,Penguin Books,1983
Seabiscuit,107,345465083,LAURA HILLENBRAND,Education ,Ballantine Books,2003
The Prince,108,451625889,Niccolo Machiavelli,Education ,Signet Book,1952
Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),109,1558531025,H. Jackson Brown,Education ,Thomas Nelson,1991
Starship Troopers,110,441783589,Robert A. Heinlein,Education ,Ace Books,1987
"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",111,394895894,PHILIP PULLMAN,Education ,Laurel Leaf,1988
Black Beauty (Illustrated Classics),112,1569871213,Anna Sewell,Education ,Landoll,1995
Anil's Ghost,113,375410538,MICHAEL ONDAATJE,Education ,Knopf,2000
Prescription for Terror,114,966986105,Sandra Levy Ceren,Education ,Andrew Scott Publishers,1999
Modern Manners: An Etiquette Book for Rude People,115,087113375X,P.J. O'Rourke,Education ,Atlantic Monthly Press,1990
Turning Thirty,116,340767936,Mike Gayle,Education ,Hodder &amp; Stoughton General Division,2000
Decipher,117,743403843,Stel Pavlou,Education ,Simon &amp; Schuster (Trade Division),2002
"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",118,60930365,Sarah Payne Stuart,Education ,Perennial,1999
Standing Firm: A Vice-Presidential Memoir,119,60177586,Dan Quayle,Education ,Harpercollins,1994
Team Bush : Leadership Lessons from the Bush White House,120,71416331,Donald F. Kettl,Education ,McGraw-Hill,2003
The Right Man : The Surprise Presidency of George W. Bush,121,375509038,DAVID FRUM,Education ,Random House,2003
Daybreakers Louis Lamour Collection,122,553062042,Louis Lamour,Education ,Bantam Doubleday Dell,1981
The Catcher in the Rye,123,316769487,J.D. Salinger,Education ,"Little, Brown",1991
El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),124,8445071408,J. R. R. Tolkien,Education ,Minotauro,2001
El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),125,8445071769,J. R. R. Tolkien,Education ,Minotauro,2001
"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",126,8445071777,J. R. R. Tolkien,Education ,Distribooks,2001
Midnight in the Garden of Good and Evil: A Savannah Story,127,679429220,John Berendt,Education ,Random House,1994
Pretend You Don't See Her,128,671867156,Mary Higgins Clark,Education ,Pocket,1998
Fast Women,129,312252617,Jennifer Crusie,Education ,St. Martin's Press,2001
Female Intelligence,130,312261594,Jane Heller,Education ,St. Martin's Press,2001
Pasquale's Nose: Idle Days in an Italian Town,131,316748641,Michael Rips,Education ,Back Bay Books,2002
The Gospel of Judas: A Novel,132,316973742,Simon Mawer,Education ,Back Bay Books,2002
"Prize Stories, 1987: The O'Henry Awards",133,385235941,William Abrahams,Education ,Doubleday Books,1987
"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",134,446677450,Robert T. Kiyosaki,Education ,Warner Books,2000
The Pillars of the Earth,135,451166892,Ken Follett,Education ,Signet Book,1996
McDonald's: Behind the Arches,136,553347594,John F. Love,Education ,Bantam,1995
Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,137,671621009,Robert G. Allen,Education ,Fireside,1986
Corelli's Mandolin : A Novel,138,067976397X,LOUIS DE BERNIERES,Education ,Vintage,1995
"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",139,684822733,Pam Proctor,Education ,Fireside,1996
The Five People You Meet in Heaven,140,786868716,Mitch Albom,Education ,Hyperion,2003
Tu Nombre Escrito En El Agua (La Sonrisa Vertical),141,8472238822,Irene Gonzalez Frei,Education ,Tusquets,2002
Relics (Star Trek: The Next Generation),142,671864769,Michael Jan Friedman,Education ,Star Trek,1992
Bless The Beasts And Children : Bless The Beasts And Children,143,671521519,Glendon Swarthout,Education ,Pocket,1995
"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",144,440222303,Neal Barrett Jr.,Education ,Dell,1996
Blood Oath,145,312953453,David Morrell,Education ,St. Martin's Press,1994
The Alibi,146,446608653,Sandra Brown,Education ,Warner Books,2000
The Beach House,147,446612545,James Patterson,Education ,Warner Books,2003
A Kiss Remembered,148,446612618,Sandra Brown,Education ,Warner Books,2003
The Short Forever,149,451208080,Stuart Woods,Education ,Signet Book,2003
Dead Aim,150,553584383,IRIS JOHANSEN,Education ,Bantam Books,2004
Angels &amp; Demons,151,671027360,Dan Brown,Education ,Pocket Star,2001
The Deal,152,812575954,Joe Hutsko,Education ,Tor Books (Mm),2000
All He Ever Wanted: A Novel,153,316735736,Anita Shreve,Education ,Back Bay Books,2004
"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",154,743439740,Ann Rule,Education ,Pocket,2002
"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",155,345372700,LEWIS GRIZZARD,Education ,Ballantine Books,1991
The Mosquito Coast,156,380619458,Paul Theroux,Education ,Harper Mass Market Paperbacks (Mm),1990
"If Love Were Oil, I'd Be About a Quart Low",157,446325805,Lewis Grizzard,Education ,Warner Books (Mm),1994
"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",158,451406923,Charles Hickey,Education ,Onyx Books,1996
The Girl Who Loved Tom Gordon,159,671042858,Stephen King,Education ,Pocket,2000
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,160,743249992,Ben Mezrich,Education ,Free Press,2003
"The Oneprince (The Redaemian Chronicles, Book 1)",161,840734530,Bill Hand,Education ,Thomas Nelson Inc,1992
The Sum of All Fears,162,425184226,Tom Clancy,Education ,Berkley Publishing Group,2002
Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,163,375500766,DANA REEVE,Education ,Random House,1999
O Deus Das Pequenas Coisas,164,9724119378,Roy,Education ,Edicoes Asa,1998
Lady in Green/Minor Indiscretions (Signet Regency Romance),165,451205197,Barbara Metzger,Education ,Signet Book,2002
One Hundred Years of Solitude,166,60929790,Gabriel Garcia Marquez,Education ,Perennial,1998
Little Altars Everywhere: A Novel,167,60976845,Rebecca Wells,Education ,Perennial,1996
Coyote Waits (Joe Leaphorn/Jim Chee Novels),168,61099325,Tony Hillerman,Education ,HarperTorch,1992
Before I Say Good-Bye,169,671004573,Mary Higgins Clark,Education ,Pocket,2001
Slow Waltz in Cedar Bend,170,446601640,Robert James Waller,Education ,Warner Books,1994
Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),171,330484516,Rachel Harris,Education ,Pan Macmillan,2001
Atonement : A Novel,172,038572179X,IAN MCEWAN,Education ,Anchor,2003
Next: The Future Just Happened,173,393020371,Michael Lewis,Education ,W.W. Norton &amp; Company,2001
The Angelic Darkness,174,1900850303,Richard Zimler,Education ,Arcadia Books,1999
The Soulbane Stratagem,175,1903019699,Norman Jetmundsen,Education ,"John Hunt Publishing, Ltd.",2000
Gangster,176,345425294,Lorenzo Carcaterra,Education ,Fawcett Books,2002
Hush,177,451410319,Anne Frasier,Education ,Onyx Books,2002
"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",178,553583468,Kay Hooper,Education ,Bantam Books,2002
Temor y Temblor,179,8420639133,Soren Kierkegaard,Education ,Alianza,2001
Estudios sobre el amor,180,8476409419,Jose Ortega Y Gaset,Education ,Downtown Book Center,2001
Rebecca,181,380778556,Daphne Du Maurier,Education ,Avon,1994
Scarlet Letter,182,451525221,Nathaniel Hawthorne,Education ,Signet Book,1993
Keep It Simple: And Get More Out of Life,183,2740230,Nick Page,Education ,Trafalgar Square,1999
Diary of a Mad Mom-To-Be,184,385336772,Laura Wolf,Education ,Delta,2003
Locked in Time (Laurel Leaf Books),185,440949424,LOIS DUNCAN,Education ,Laure Leaf,1986
Contact,186,505524996,Susan Grant,Education ,Love Spell,2002
The Brimstone Wedding,187,140252800,Barbara Vine,Education ,Penguin Books Ltd,1997
The Catswold Portal,188,451452755,Shirley Rousseau Murphy,Education ,Roc,1993
Through Wolf's Eyes (Wolf),189,812575482,Jane Lindskold,Education ,Tor Fantasy,2002
Puerto Vallarta Squeeze,190,044651747X,Robert James Waller,Education ,Warner Books,1995
Tree Grows In Brooklyn,191,60801263,Betty Smith,Education ,Harpercollins Publisher,1988
"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",192,61030147,Cybill Shepherd,Education ,Avon Books,2001
Snow Angels,193,140250964,Stewart O'Nan,Education ,Penguin Books,1995
Wish You Well,194,446527165,David Baldacci,Education ,Warner Books,2000
The Hitchhiker's Guide to the Galaxy,195,671461494,Douglas Adams,Education ,Pocket,1982
Crow Lake (Today Show Book Club #7),196,385337639,Mary Lawson,Education ,Delta,2003
My Antonia,197,039575514X,Willa Cather,Education ,Mariner Books,1995
Pen Pals,198,451206673,Olivia Goldsmith,Education ,Signet Book,2002
Bridget Jones's Diary,199,330332775,Helen Fielding,Education ,Picador (UK),1997
Pride and Prejudice (Dover Thrift Editions),200,486284735,Jane Austen,Education ,Dover Publications,1995
EYE ON CRIME: HARDY BOYS #153,201,671021745,Franklin W. Dixon,Education ,Aladdin,1998
Skin And Bones,202,671047612,Franklin W. Dixon,Education ,Aladdin,2000
"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",203,671504282,Franklin W. Dixon,Education ,Simon Pulse,1995
The Cat Who Came to Breakfast (Cat Who... (Hardcover)),204,399138684,Lilian Jackson Braun,Education ,Putnam Pub Group,1994
"If Singleness Is a Gift, What's the Return Policy?",205,785263292,Holly Virden,Education ,Nelson Books,2003
Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,206,830714014,H. Norman Wright,Education ,Regal Books,1989
Night Mare (Xanth Novels (Paperback)),207,345354931,Piers Anthony,Education ,Del Rey Books,1990
The Martian Chronicles,208,553278223,RAY BRADBURY,Education ,Spectra,1984
Kabale Und Liebe,209,3150000335,Schiller,Education ,"Philipp Reclam, Jun Verlag GmbH",0
Der illustrierte Mann. ErzÃ?Â¤hlungen.,210,3257203659,Ray Bradbury,Education ,Diogenes,2002
Der KÃ?Â¶nig in Gelb.,211,3257207522,Raymond Chandler,Education ,Diogenes Verlag,1980
Fahrenheit 451,212,3257208626,Ray Bradbury,Education ,Distribooks Inc,1994
Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,213,3257208634,Ray Bradbury,Education ,Diogenes Verlag,1981
Das BÃ?Â¶se kommt auf leisen Sohlen.,214,3257208669,Ray Bradbury,Education ,Diogenes,2003
LÃ?Â¶wenzahnwein. Roman.,215,3257210450,Ray Bradbury,Education ,Diogenes Verlag,1999
Das Kind von morgen. ErzÃ?Â¤hlungen.,216,3257212054,Ray Bradbury,Education ,Diogenes Verlag,2000
Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,217,3257212429,Ray Bradbury,Education ,Diogenes Verlag,2000
Familientreffen. ErzÃ?Â¤hlungen.,218,3257214154,Ray Bradbury,Education ,Diogenes Verlag,2000
Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,219,3257216416,Ray Bradbury,Education ,Diogenes Verlag,1988
Veronika Deschliesst Zu Sterben / Vernika Decides to Die,220,3257233051,Paolo Coelho,Education ,Distribooks,2002
Die Liebe in Den Zelten,221,342311360X,Gabriel Garcia Marquez,Education ,Deutscher Taschenbuch Verlag (DTV),0
Die Klone der Joanna May. Roman.,222,3423116714,Fay Weldon,Education ,Dtv,1993
Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,223,3423241489,Arabella Weir,Education ,Dtv,1998
Haifischfrauen.,224,3426605686,Kiana Davenport,Education ,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",1996
Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,225,3453212150,Sue Townsend,Education ,Heyne,2002
Schwarzer Tee mit drei StÃ¼ck Zucker,226,3462021095,Renan Demirkan,Education ,Kiepenheuer &amp; Witsch,1991
QuerschÃ?Â¼sse - Downsize This!,227,3492045642,Michael Moore,Education ,Piper,2003
Die Korrekturen.,228,3498020862,Jonathan Franzen,Education ,"Rowohlt, Reinbek",2002
Neun ErzÃ?Â¤hlungen.,229,3499110695,Jerome D. Salinger,Education ,Rowohlt Tb.,1968
"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",230,3499151502,Jerome D. Salinger,Education ,Rowohlt Tb.,1998
"Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge, 100).",231,3518111000,James Joyce,Education ,Suhrkamp,1981
Eine ganz normale AffÃ?Â¤re.,232,3548254268,Joanna Trollope,Education ,Ullstein Tb,2002
"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).",233,3570300099,Sue Townsend,Education ,"Bertelsmann, MÃ?Â¼nchen",2002
Das Buch der lÃ?Â¤cherlichen Liebe.,234,3596292646,Milan Kundera,Education ,"Fischer (Tb.), Frankfurt",2000
The God of Small Things,235,60977493,Arundhati Roy,Education ,Perennial,1998
The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel,236,312872682,Robert S. Levinson,Education ,St Martins Pr,2000
The Big Bad Wolf: A Novel,237,316602906,James Patterson,Education ,"Little, Brown",2003
Four Blind Mice,238,316693006,James Patterson,Education ,"Little, Brown",2002
Private Screening,239,345311396,Richard North Patterson,Education ,Ballantine Books,1994
Congo,240,345378490,Michael Crichton,Education ,Ballantine Books,1995
Protect and Defend,241,345404793,Richard North Patterson,Education ,Ballantine Books,2001
The Tall Pine Polka,242,345433173,Lorna Landvik,Education ,Ballantine Books,1999
Memoirs of a Geisha,243,375400117,Arthur Golden,Education ,Alfred A. Knopf,1997
Plainsong (Vintage Contemporaries),244,375705856,KENT HARUF,Education ,Vintage,2000
Body of Evidence (Kay Scarpetta Mysteries (Paperback)),245,380717018,Patricia D. Cornwell,Education ,Avon,1992
All That Remains (Kay Scarpetta Mysteries (Paperback)),246,380718332,Patricia D. Cornwell,Education ,Avon,1993
The Case of the Lost Look-Alike (An Avon Camelot Book),247,380754509,Carol J. Farley,Education ,Avon Books,1988
Petals on the River,248,038076654X,Kathleen E. Woodiwiss,Education ,Avon Trade,1997
The Elusive Flame,249,380807866,Kathleen E. Woodiwiss,Education ,Avon,1999
Legacy of Silence,250,385316895,Belva Plain,Education ,Bantam Dell Pub Group,1998
The Brethren,251,385497466,JOHN GRISHAM,Education ,Doubleday,2000
The King of Torts,252,385508042,John Grisham,Education ,Doubleday Books,2003
The Curious Incident of the Dog in the Night-Time : A Novel,253,385509456,MARK HADDON,Education ,Doubleday,2003
Bleachers,254,385511612,John Grisham,Education ,Doubleday,2003
Sisterhood of the Traveling Pants,255,385730586,ANN BRASHARES,Education ,Delacorte Books for Young Readers,2003
Only Love (Magical Love),256,425164403,Erich Segal,Education ,Berkley Publishing Group,1998
All or Nothing (Wheeler Large Print Books),257,440234964,Elizabeth Adler,Education ,Island,2000
Roses Are Red (Alex Cross Novels),258,446605484,James Patterson,Education ,Warner Vision,2001
The Rescue,259,446610399,Nicholas Sparks,Education ,Warner Books,2001
Manhattan Hunt Club,260,449006522,JOHN SAUL,Education ,Ballantine Books,2002
Patty Jane's House of Curl (Ballantine Reader's Circle),261,449911004,LORNA LANDVIK,Education ,Ballantine Books,1996
Pet Sematary,262,451162072,Stephen King,Education ,Signet Book,1994
Silent Snow,263,451186648,Steve Thayer,Education ,Signet Book,2000
Girl with a Pearl Earring,264,452282152,Tracy Chevalier,Education ,Plume Books,2001
Summer of Storms,265,051513290X,Judith Kelman,Education ,Jove Books,2002
The Patient,266,553580388,Michael Palmer,Education ,Bantam Books,2001
"Demona's Revenge (Gargoyles, No. 2)",267,590598848,Francine Hughes,Education ,Scholastic,1995
Clifford's Sports Day,268,590629719,Norman Bridwell,Education ,Scholastic,1996
Postmortem (Kay Scarpetta Mysteries (Paperback)),269,671023616,Patricia Cornwell,Education ,Pocket,1998
Deception Point,270,671027387,Dan Brown,Education ,Pocket,2002
Tis : A Memoir,271,684848783,Frank McCourt,Education ,Scribner,1999
Angels &amp; Demons,272,743486226,Dan Brown,Education ,Atria,2003
A Monk Swimming,273,786863986,Malachy McCourt,Education ,Hyperion,1998
Crazy Horse,274,803251718,Mari Sandoz,Education ,University of Nebraska Press,1961
The Silent Cry (William Monk Novels (Paperback)),275,804117934,Anne Perry,Education ,Ivy Books,1998
The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),276,140003180X,ALEXANDER MCCALL SMITH,Education ,Anchor,2004
Chicken Soup for the Soul (Chicken Soup for the Soul),277,155874262X,Jack Canfield,Education ,Health Communications,1993
Wicked: The Life and Times of the Wicked Witch of the West,278,60987103,Gregory Maguire,Education ,Regan Books,1996
Life of Pi,279,151008116,Yann Martel,Education ,Harcourt,2002
A Judgement in Stone,280,375704965,Ruth Rendell,Education ,Vintage Books USA,2000
Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,281,525947647,Al Franken,Education ,Dutton Books,2003
Secret History,282,804111359,DONNA TARTT,Education ,Ballantine Books,1993
Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),283,1558744150,Jack Canfield,Education ,Health Communications,1996
Great Expectations (Heinemann Guided Readers),284,435272683,John Milne,Education ,Delta Systems,1995
The Weight of Water,285,316782505,Anita Shreve,Education ,"Little, Brown",2001
Moving Pictures (Discworld Novels (Paperback)),286,006102063X,Terry Pratchett,Education ,HarperTorch,2002
Night Watch,287,60013117,Terry Pratchett,Education ,HarperCollins,2002
Thief of Time,288,60199563,Terry Pratchett,Education ,HarperCollins Publishers,2001
Charlotte's Web Book and Charm (Charming Classics),289,006052779X,E. B. White,Education ,HarperFestival,2003
Peter Pan: The Original Story (Peter Pan),290,60563079,J. M. Barrie,Education ,HarperFestival,2003
My Friend Flicka,291,60809027,Mary O'Hara,Education ,Perennial,1988
The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),292,61040967,Terry Pratchett,Education ,HarperCollins,2001
Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),293,61050474,Terry Pratchett,Education ,HarperPrism,1998
"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)",294,61052515,Terry Pratchett,Education ,HarperPrism,1997
Interesting Times: A Novel of Discworld,295,61052523,Terry Pratchett,Education ,Harpercollins,1997
