BookName,BookId,ISSN,Auth,Category,Publisher,PublishTime,isBorrowed,Reserve,location
Daybreakers Louis Lamour Collection,122,553062042,Louis Lamour,Education ,Bantam Doubleday Dell,1981,0,10,Library
The Catcher in the Rye,123,316769487,J.D. Salinger,Education ,"Little, Brown",1991,0,10,Library
El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),124,8445071408,J. R. R. Tolkien,Education ,Minotauro,2001,0,10,Library
El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),125,8445071769,J. R. R. Tolkien,Education ,Minotauro,2001,0,10,Library
"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",126,8445071777,J. R. R. Tolkien,Education ,Distribooks,2001,0,10,Library
Midnight in the Garden of Good and Evil: A Savannah Story,127,679429220,John Berendt,Education ,Random House,1994,0,10,Library
Pretend You Don't See Her,128,671867156,Mary Higgins Clark,Education ,Pocket,1998,0,10,Library
Fast Women,129,312252617,Jennifer Crusie,Education ,St. Martin's Press,2001,0,10,Library
Female Intelligence,130,312261594,Jane Heller,Education ,St. Martin's Press,2001,0,10,Library
Pasquale's Nose: Idle Days in an Italian Town,131,316748641,Michael Rips,Education ,Back Bay Books,2002,0,10,Library
The Gospel of Judas: A Novel,132,316973742,Simon Mawer,Education ,Back Bay Books,2002,0,10,Library
"Prize Stories, 1987: The O'Henry Awards",133,385235941,William Abrahams,Education ,Doubleday Books,1987,0,10,Library
"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",134,446677450,Robert T. Kiyosaki,Education ,Warner Books,2000,0,10,Library
The Pillars of the Earth,135,451166892,Ken Follett,Education ,Signet Book,1996,0,10,Library
McDonald's: Behind the Arches,136,553347594,John F. Love,Education ,Bantam,1995,0,10,Library
Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,137,671621009,Robert G. Allen,Education ,Fireside,1986,0,10,Library
Corelli's Mandolin : A Novel,138,067976397X,LOUIS DE BERNIERES,Education ,Vintage,1995,0,10,Library
"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",139,684822733,Pam Proctor,Education ,Fireside,1996,0,10,Library
The Five People You Meet in Heaven,140,786868716,Mitch Albom,Education ,Hyperion,2003,0,10,Library
Tu Nombre Escrito En El Agua (La Sonrisa Vertical),141,8472238822,Irene Gonzalez Frei,Education ,Tusquets,2002,0,10,Library
Relics (Star Trek: The Next Generation),142,671864769,Michael Jan Friedman,Education ,Star Trek,1992,0,10,Library
Bless The Beasts And Children : Bless The Beasts And Children,143,671521519,Glendon Swarthout,Education ,Pocket,1995,0,10,Library
"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",144,440222303,Neal Barrett Jr.,Education ,Dell,1996,0,10,Library
Blood Oath,145,312953453,David Morrell,Education ,St. Martin's Press,1994,0,10,Library
The Alibi,146,446608653,Sandra Brown,Education ,Warner Books,2000,0,10,Library
The Beach House,147,446612545,James Patterson,Education ,Warner Books,2003,0,10,Library
A Kiss Remembered,148,446612618,Sandra Brown,Education ,Warner Books,2003,0,10,Library
The Short Forever,149,451208080,Stuart Woods,Education ,Signet Book,2003,0,10,Library
Dead Aim,150,553584383,IRIS JOHANSEN,Education ,Bantam Books,2004,0,10,Library
Angels &amp; Demons,151,671027360,Dan Brown,Education ,Pocket Star,2001,0,10,Library
The Deal,152,812575954,Joe Hutsko,Education ,Tor Books (Mm),2000,0,10,Library
All He Ever Wanted: A Novel,153,316735736,Anita Shreve,Education ,Back Bay Books,2004,0,10,Library
"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",154,743439740,Ann Rule,Education ,Pocket,2002,0,10,Library
"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",155,345372700,LEWIS GRIZZARD,Education ,Ballantine Books,1991,0,10,Library
The Mosquito Coast,156,380619458,Paul Theroux,Education ,Harper Mass Market Paperbacks (Mm),1990,0,10,Library
"If Love Were Oil, I'd Be About a Quart Low",157,446325805,Lewis Grizzard,Education ,Warner Books (Mm),1994,0,10,Library
"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",158,451406923,Charles Hickey,Education ,Onyx Books,1996,0,10,Library
The Girl Who Loved Tom Gordon,159,671042858,Stephen King,Education ,Pocket,2000,0,10,Library
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,160,743249992,Ben Mezrich,Education ,Free Press,2003,0,10,Library
"The Oneprince (The Redaemian Chronicles, Book 1)",161,840734530,Bill Hand,Education ,Thomas Nelson Inc,1992,0,10,Library
The Sum of All Fears,162,425184226,Tom Clancy,Education ,Berkley Publishing Group,2002,0,10,Library
Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,163,375500766,DANA REEVE,Education ,Random House,1999,0,10,Library
O Deus Das Pequenas Coisas,164,9724119378,Roy,Education ,Edicoes Asa,1998,0,10,Library
Lady in Green/Minor Indiscretions (Signet Regency Romance),165,451205197,Barbara Metzger,Education ,Signet Book,2002,0,10,Library
One Hundred Years of Solitude,166,60929790,Gabriel Garcia Marquez,Education ,Perennial,1998,0,10,Library
Little Altars Everywhere: A Novel,167,60976845,Rebecca Wells,Education ,Perennial,1996,0,10,Library
Coyote Waits (Joe Leaphorn/Jim Chee Novels),168,61099325,Tony Hillerman,Education ,HarperTorch,1992,0,10,Library
Before I Say Good-Bye,169,671004573,Mary Higgins Clark,Education ,Pocket,2001,0,10,Library
Slow Waltz in Cedar Bend,170,446601640,Robert James Waller,Education ,Warner Books,1994,0,10,Library
Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),171,330484516,Rachel Harris,Education ,Pan Macmillan,2001,0,10,Library
Atonement : A Novel,172,038572179X,IAN MCEWAN,Education ,Anchor,2003,0,10,Library
Next: The Future Just Happened,173,393020371,Michael Lewis,Education ,W.W. Norton &amp; Company,2001,0,10,Library
The Angelic Darkness,174,1900850303,Richard Zimler,Education ,Arcadia Books,1999,0,10,Library
The Soulbane Stratagem,175,1903019699,Norman Jetmundsen,Education ,"John Hunt Publishing, Ltd.",2000,0,10,Library
Gangster,176,345425294,Lorenzo Carcaterra,Education ,Fawcett Books,2002,0,10,Library
Hush,177,451410319,Anne Frasier,Education ,Onyx Books,2002,0,10,Library
"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",178,553583468,Kay Hooper,Education ,Bantam Books,2002,0,10,Library
Temor y Temblor,179,8420639133,Soren Kierkegaard,Education ,Alianza,2001,0,10,Library
Estudios sobre el amor,180,8476409419,Jose Ortega Y Gaset,Education ,Downtown Book Center,2001,0,10,Library
Rebecca,181,380778556,Daphne Du Maurier,Education ,Avon,1994,0,10,Library
Scarlet Letter,182,451525221,Nathaniel Hawthorne,Education ,Signet Book,1993,0,10,Library
Keep It Simple: And Get More Out of Life,183,2740230,Nick Page,Education ,Trafalgar Square,1999,0,10,Library
Diary of a Mad Mom-To-Be,184,385336772,Laura Wolf,Education ,Delta,2003,0,10,Library
Locked in Time (Laurel Leaf Books),185,440949424,LOIS DUNCAN,Education ,Laure Leaf,1986,0,10,Library
Contact,186,505524996,Susan Grant,Education ,Love Spell,2002,0,10,Library
The Brimstone Wedding,187,140252800,Barbara Vine,Education ,Penguin Books Ltd,1997,0,10,Library
The Catswold Portal,188,451452755,Shirley Rousseau Murphy,Education ,Roc,1993,0,10,Library
Through Wolf's Eyes (Wolf),189,812575482,Jane Lindskold,Education ,Tor Fantasy,2002,0,10,Library
Puerto Vallarta Squeeze,190,044651747X,Robert James Waller,Education ,Warner Books,1995,0,10,Library
Tree Grows In Brooklyn,191,60801263,Betty Smith,Education ,Harpercollins Publisher,1988,0,10,Library
"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",192,61030147,Cybill Shepherd,Education ,Avon Books,2001,0,10,Library
Snow Angels,193,140250964,Stewart O'Nan,Education ,Penguin Books,1995,0,10,Library
Wish You Well,194,446527165,David Baldacci,Education ,Warner Books,2000,0,10,Library
The Hitchhiker's Guide to the Galaxy,195,671461494,Douglas Adams,Education ,Pocket,1982,0,10,Library
Crow Lake (Today Show Book Club #7),196,385337639,Mary Lawson,Education ,Delta,2003,0,10,Library
My Antonia,197,039575514X,Willa Cather,Education ,Mariner Books,1995,0,10,Library
Pen Pals,198,451206673,Olivia Goldsmith,Education ,Signet Book,2002,0,10,Library
Bridget Jones's Diary,199,330332775,Helen Fielding,Education ,Picador (UK),1997,0,10,Library
Pride and Prejudice (Dover Thrift Editions),200,486284735,Jane Austen,Education ,Dover Publications,1995,0,10,Library
EYE ON CRIME: HARDY BOYS #153,201,671021745,Franklin W. Dixon,Education ,Aladdin,1998,0,10,Library
Skin And Bones,202,671047612,Franklin W. Dixon,Education ,Aladdin,2000,0,10,Library
"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",203,671504282,Franklin W. Dixon,Education ,Simon Pulse,1995,0,10,Library
The Cat Who Came to Breakfast (Cat Who... (Hardcover)),204,399138684,Lilian Jackson Braun,Education ,Putnam Pub Group,1994,0,10,Library
"If Singleness Is a Gift, What's the Return Policy?",205,785263292,Holly Virden,Education ,Nelson Books,2003,0,10,Library
Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,206,830714014,H. Norman Wright,Education ,Regal Books,1989,0,10,Library
Night Mare (Xanth Novels (Paperback)),207,345354931,Piers Anthony,Education ,Del Rey Books,1990,0,10,Library
The Martian Chronicles,208,553278223,RAY BRADBURY,Education ,Spectra,1984,0,10,Library
Kabale Und Liebe,209,3150000335,Schiller,Education ,"Philipp Reclam, Jun Verlag GmbH",0,0,10,Library
Der illustrierte Mann. ErzÃ?Â¤hlungen.,210,3257203659,Ray Bradbury,Education ,Diogenes,2002,0,10,Library
Der KÃ?Â¶nig in Gelb.,211,3257207522,Raymond Chandler,Education ,Diogenes Verlag,1980,0,10,Library
Fahrenheit 451,212,3257208626,Ray Bradbury,Education ,Distribooks Inc,1994,0,10,Library
Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,213,3257208634,Ray Bradbury,Education ,Diogenes Verlag,1981,0,10,Library
Das BÃ?Â¶se kommt auf leisen Sohlen.,214,3257208669,Ray Bradbury,Education ,Diogenes,2003,0,10,Library
LÃ?Â¶wenzahnwein. Roman.,215,3257210450,Ray Bradbury,Education ,Diogenes Verlag,1999,0,10,Library
Das Kind von morgen. ErzÃ?Â¤hlungen.,216,3257212054,Ray Bradbury,Education ,Diogenes Verlag,2000,0,10,Library
Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,217,3257212429,Ray Bradbury,Education ,Diogenes Verlag,2000,0,10,Library
Familientreffen. ErzÃ?Â¤hlungen.,218,3257214154,Ray Bradbury,Education ,Diogenes Verlag,2000,0,10,Library
Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,219,3257216416,Ray Bradbury,Education ,Diogenes Verlag,1988,0,10,Library
Veronika Deschliesst Zu Sterben / Vernika Decides to Die,220,3257233051,Paolo Coelho,Education ,Distribooks,2002,0,10,Library
Die Liebe in Den Zelten,221,342311360X,Gabriel Garcia Marquez,Education ,Deutscher Taschenbuch Verlag (DTV),0,0,10,Library
Die Klone der Joanna May. Roman.,222,3423116714,Fay Weldon,Education ,Dtv,1993,0,10,Library
Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,223,3423241489,Arabella Weir,Education ,Dtv,1998,0,10,Library
Haifischfrauen.,224,3426605686,Kiana Davenport,Education ,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",1996,0,10,Library
Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,225,3453212150,Sue Townsend,Education ,Heyne,2002,0,10,Library
Schwarzer Tee mit drei StÃ¼ck Zucker,226,3462021095,Renan Demirkan,Education ,Kiepenheuer &amp; Witsch,1991,0,10,Library
QuerschÃ?Â¼sse - Downsize This!,227,3492045642,Michael Moore,Education ,Piper,2003,0,10,Library
Die Korrekturen.,228,3498020862,Jonathan Franzen,Education ,"Rowohlt, Reinbek",2002,0,10,Library
Neun ErzÃ?Â¤hlungen.,229,3499110695,Jerome D. Salinger,Education ,Rowohlt Tb.,1968,0,10,Library
"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",230,3499151502,Jerome D. Salinger,Education ,Rowohlt Tb.,1998,0,10,Library
"Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge, 100).",231,3518111000,James Joyce,Education ,Suhrkamp,1981,0,10,Library
Eine ganz normale AffÃ?Â¤re.,232,3548254268,Joanna Trollope,Education ,Ullstein Tb,2002,0,10,Library
"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).",233,3570300099,Sue Townsend,Education ,"Bertelsmann, MÃ?Â¼nchen",2002,0,10,Library
Das Buch der lÃ?Â¤cherlichen Liebe.,234,3596292646,Milan Kundera,Education ,"Fischer (Tb.), Frankfurt",2000,0,10,Library
The God of Small Things,235,60977493,Arundhati Roy,Education ,Perennial,1998,0,10,Library
The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel,236,312872682,Robert S. Levinson,Education ,St Martins Pr,2000,0,10,Library
The Big Bad Wolf: A Novel,237,316602906,James Patterson,Education ,"Little, Brown",2003,0,10,Library
Four Blind Mice,238,316693006,James Patterson,Education ,"Little, Brown",2002,0,10,Library
Private Screening,239,345311396,Richard North Patterson,Education ,Ballantine Books,1994,0,10,Library
Congo,240,345378490,Michael Crichton,Education ,Ballantine Books,1995,0,10,Library
Protect and Defend,241,345404793,Richard North Patterson,Education ,Ballantine Books,2001,0,10,Library
The Tall Pine Polka,242,345433173,Lorna Landvik,Education ,Ballantine Books,1999,0,10,Library
Memoirs of a Geisha,243,375400117,Arthur Golden,Education ,Alfred A. Knopf,1997,0,10,Library
Plainsong (Vintage Contemporaries),244,375705856,KENT HARUF,Education ,Vintage,2000,0,10,Library
Body of Evidence (Kay Scarpetta Mysteries (Paperback)),245,380717018,Patricia D. Cornwell,Education ,Avon,1992,0,10,Library
All That Remains (Kay Scarpetta Mysteries (Paperback)),246,380718332,Patricia D. Cornwell,Education ,Avon,1993,0,10,Library
The Case of the Lost Look-Alike (An Avon Camelot Book),247,380754509,Carol J. Farley,Education ,Avon Books,1988,0,10,Library
Petals on the River,248,038076654X,Kathleen E. Woodiwiss,Education ,Avon Trade,1997,0,10,Library
The Elusive Flame,249,380807866,Kathleen E. Woodiwiss,Education ,Avon,1999,0,10,Library
Legacy of Silence,250,385316895,Belva Plain,Education ,Bantam Dell Pub Group,1998,0,10,Library
The Brethren,251,385497466,JOHN GRISHAM,Education ,Doubleday,2000,0,10,Library
The King of Torts,252,385508042,John Grisham,Education ,Doubleday Books,2003,0,10,Library
The Curious Incident of the Dog in the Night-Time : A Novel,253,385509456,MARK HADDON,Education ,Doubleday,2003,0,10,Library
Bleachers,254,385511612,John Grisham,Education ,Doubleday,2003,0,10,Library
Sisterhood of the Traveling Pants,255,385730586,ANN BRASHARES,Education ,Delacorte Books for Young Readers,2003,0,10,Library
Only Love (Magical Love),256,425164403,Erich Segal,Education ,Berkley Publishing Group,1998,0,10,Library
